         532113 function calls (529176 primitive calls) in 1.863 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       44    0.000    0.000    0.133    0.003 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:1342(_handle_chunk)
       62    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\urllib\parse.py:374(urlparse)
      368    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\socket.py:744(readable)
      162    0.000    0.000    0.002    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\html\parser.py:350(parse_comment)
        3    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:467(parse_ns_headers)
        2    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:472(_parse_headers)
       46    0.000    0.000    0.008    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:619(_decode)
        1    0.000    0.000    0.246    0.246 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:211(__init__)
      787    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:321(matches_tag)
        8    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:218(_parsegen)
        2    0.000    0.000    0.003    0.001 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\parser.py:56(parsestr)
       34    0.000    0.000    0.001    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:378(__init__)
      370    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       67    0.000    0.000    0.132    0.002 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\client.py:635(_safe_read)
      736    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1117(_checkClosed)
      162    0.000    0.000    0.002    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\builder\_htmlparser.py:269(handle_comment)
        1    0.000    0.000    0.012    0.012 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:656(_flush_decoder)
        5    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       45    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:1324(_update_chunk_length)
       43    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\_policybase.py:301(header_source_parse)
       67    0.000    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\enum.py:1596(__or__)
       16    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\message.py:500(get)
      884    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\message.py:535(get_all)
        6    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\enum.py:1459(_missing_)
        2    0.000    0.000    0.050    0.025 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\client.py:213(_read_headers)
        2    0.000    0.000    1.146    0.573 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\connection.py:540(getresponse)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:979(update)
      2/1    0.000    0.000    1.596    1.596 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\requests\sessions.py:673(send)
        6    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:1390(_normalized_cookie_tuples)
       49    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\_collections.py:257(__getitem__)
